{04921709-B159-11D1-9207-0000F8758E66}, HeightField
{16B280C5-EE70-11D1-9066-00C04FD9189D}, Fade
{3D2807C2-43DE-11D2-9900-0000F803FF7A}, Spin
{421516C1-3CF8-11D2-952A-00C04FA34F05}, Chroma
{42B07B28-2280-4937-B035-0293FB812781}, Redirect
{4ABF5A06-5568-4834-BEE3-327A6D95A685}, Matrix
{4CCEA634-FBE0-11D1-906A-00C04FD9189D}, Pixelate
{555278E2-05DB-11D1-883A-3C8B00C10000}, Scale
{63500AE2-0858-11D2-8CE4-00C04F8ECB10}, CrShatter
{7312498D-E87A-11D1-81E0-0000F87557DB}, Blur
{78F30B82-48AA-11D2-9900-0000F803FF7A}, Roll
{945F5842-3A8D-11D1-9037-00C04FD9189D}, Ripple
{9F8E6421-3D9B-11D2-952A-00C04FA34F05}, Glow
{ADC6CB82-424C-11D2-952A-00C04FA34F05}, Alpha
{ADC6CB88-424C-11D2-952A-00C04FA34F05}, Wave
{049F2CE6-D996-4721-897A-DB15CE9EB73D}, Iris
{164484A9-35D9-4FB7-9FAB-48273B96AA1D}, RadialWipe
{16B280C5-EE70-11D1-9066-00C04FD9189D}, Fade
{23E26328-3928-40F2-95E5-93CAD69016EB}, ZigZag
{2E7700B7-27C4-437F-9FBF-1E8BE2817566}, RandomBars
{3D2807C2-43DE-11D2-9900-0000F803FF7A}, Spin
{4A03DCB9-6E17-4A39-8845-4EE7DC5331A5}, Spiral
{4CCEA634-FBE0-11D1-906A-00C04FD9189D}, Pixelate
{5AE1DAE0-1461-11D2-A484-00C04F8EFB69}, Wheel
{63A4B1FC-259A-4A5B-8129-A83B8C9E6F4F}, Strips
{76F363F2-7E9F-4ED7-A6A7-EE30351B6628}, Inset
{8241F015-84D3-11D2-97E6-0000F803FF7A}, Shapes
{945F5842-3A8D-11D1-9037-00C04FD9189D}, Ripple
{9A4A4A51-FB3A-4F4B-9B57-A2912A289769}, Blinds
{AF279B30-86EB-11D1-81BF-0000F87557DB}, Wipe
{B3EE7802-8224-4787-A1EA-F0DE16DEABD3}, CheckerBoard
{B96F67A2-30C2-47E8-BD85-70A2C948B50F}, GradientWipe
{D1C5A1E7-CC47-4E32-BDD2-4B3C5FC50AF5}, Slide
{EC9BA17D-60B5-462B-A6D8-14B89057E22A}, Barn
{F088DE73-BDD0-4E3C-81F8-6D32F4FE9D28}, Stretch
{F7F4A1B6-8E87-452F-A2D7-3077F508DBC0}, RandomDissolve
